Target Image: purple_lightning
Final Best MSE: 1152.86
--------------------------------
Evolutionary History for purple_lightning
=========================================
Generation 0 | MSE: 6319.32 | Genotype: 
Layer 4 -> c: 0.013-0.698i | Offset X/Y: 0.59/-0.06 | Zoom: 0.33
Layer 5 -> c: 0.022+1.000i | Offset X/Y: -0.48/0.22 | Zoom: 1.82
Layer 6 -> c: 0.159-0.766i | Offset X/Y: -1.61/0.49 | Zoom: 0.10
Layer 7 -> c: -0.591-0.327i | Offset X/Y: -0.37/0.07 | Zoom: 0.84
Layer 8 -> c: 0.298-0.757i | Offset X/Y: 0.88/-0.83 | Zoom: 0.10

Generation 19 | MSE: 2454.38 | Genotype: 
Layer 1 -> c: -0.150-0.684i | Offset X/Y: -0.08/1.02 | Zoom: 0.35
Layer 2 -> c: -1.000-0.025i | Offset X/Y: 1.22/-1.04 | Zoom: 0.10
Layer 3 -> c: -0.456+0.501i | Offset X/Y: -1.76/0.73 | Zoom: 0.56
Layer 4 -> c: 0.013-0.698i | Offset X/Y: 0.59/-0.06 | Zoom: 0.33
Layer 5 -> c: 0.022+1.000i | Offset X/Y: -0.48/0.22 | Zoom: 1.82
Layer 6 -> c: 0.159-0.766i | Offset X/Y: -1.61/0.49 | Zoom: 0.10
Layer 7 -> c: -0.591-0.327i | Offset X/Y: -0.37/0.07 | Zoom: 0.84
Layer 8 -> c: 0.298-0.757i | Offset X/Y: 0.88/-0.83 | Zoom: 0.10

Generation 20 | MSE: 2454.38 | Genotype: 
Layer 1 -> c: -0.150-0.684i | Offset X/Y: -0.08/1.02 | Zoom: 0.35
Layer 2 -> c: -1.000-0.025i | Offset X/Y: 1.22/-1.04 | Zoom: 0.10
Layer 3 -> c: -0.456+0.501i | Offset X/Y: -1.76/0.73 | Zoom: 0.56
Layer 4 -> c: 0.013-0.698i | Offset X/Y: 0.59/-0.06 | Zoom: 0.33
Layer 5 -> c: 0.022+1.000i | Offset X/Y: -0.48/0.22 | Zoom: 1.82
Layer 6 -> c: 0.159-0.766i | Offset X/Y: -1.61/0.49 | Zoom: 0.10
Layer 7 -> c: -0.591-0.327i | Offset X/Y: -0.37/0.07 | Zoom: 0.84
Layer 8 -> c: 0.298-0.757i | Offset X/Y: 0.88/-0.83 | Zoom: 0.10

Generation 21 | MSE: 2454.38 | Genotype: 
Layer 1 -> c: -0.150-0.684i | Offset X/Y: -0.08/1.02 | Zoom: 0.35
Layer 2 -> c: -1.000-0.025i | Offset X/Y: 1.22/-1.04 | Zoom: 0.10
Layer 3 -> c: -0.456+0.501i | Offset X/Y: -1.76/0.73 | Zoom: 0.56
Layer 4 -> c: 0.013-0.698i | Offset X/Y: 0.59/-0.06 | Zoom: 0.33
Layer 5 -> c: 0.022+1.000i | Offset X/Y: -0.48/0.22 | Zoom: 1.82
Layer 6 -> c: 0.159-0.766i | Offset X/Y: -1.61/0.49 | Zoom: 0.10
Layer 7 -> c: -0.591-0.327i | Offset X/Y: -0.37/0.07 | Zoom: 0.84
Layer 8 -> c: 0.298-0.757i | Offset X/Y: 0.88/-0.83 | Zoom: 0.10

Generation 22 | MSE: 2454.38 | Genotype: 
Layer 1 -> c: -0.150-0.684i | Offset X/Y: -0.08/1.02 | Zoom: 0.35
Layer 2 -> c: -1.000-0.025i | Offset X/Y: 1.22/-1.04 | Zoom: 0.10
Layer 3 -> c: -0.456+0.501i | Offset X/Y: -1.76/0.73 | Zoom: 0.56
Layer 4 -> c: 0.013-0.698i | Offset X/Y: 0.59/-0.06 | Zoom: 0.33
Layer 5 -> c: 0.022+1.000i | Offset X/Y: -0.48/0.22 | Zoom: 1.82
Layer 6 -> c: 0.159-0.766i | Offset X/Y: -1.61/0.49 | Zoom: 0.10
Layer 7 -> c: -0.591-0.327i | Offset X/Y: -0.37/0.07 | Zoom: 0.84
Layer 8 -> c: 0.298-0.757i | Offset X/Y: 0.88/-0.83 | Zoom: 0.10

Generation 23 | MSE: 2454.38 | Genotype: 
Layer 1 -> c: -0.150-0.684i | Offset X/Y: -0.08/1.02 | Zoom: 0.35
Layer 2 -> c: -1.000-0.025i | Offset X/Y: 1.22/-1.04 | Zoom: 0.10
Layer 3 -> c: -0.456+0.501i | Offset X/Y: -1.76/0.73 | Zoom: 0.56
Layer 4 -> c: 0.013-0.698i | Offset X/Y: 0.59/-0.06 | Zoom: 0.33
Layer 5 -> c: 0.022+1.000i | Offset X/Y: -0.48/0.22 | Zoom: 1.82
Layer 6 -> c: 0.159-0.766i | Offset X/Y: -1.61/0.49 | Zoom: 0.10
Layer 7 -> c: -0.591-0.327i | Offset X/Y: -0.37/0.07 | Zoom: 0.84
Layer 8 -> c: 0.298-0.757i | Offset X/Y: 0.88/-0.83 | Zoom: 0.10

Generation 24 | MSE: 2433.78 | Genotype: 
Layer 1 -> c: 0.306-0.279i | Offset X/Y: 1.50/0.30 | Zoom: 0.29
Layer 2 -> c: -1.000+0.075i | Offset X/Y: -0.43/-1.44 | Zoom: 0.97
Layer 3 -> c: -0.917+0.178i | Offset X/Y: 1.39/0.52 | Zoom: 0.83
Layer 4 -> c: 0.435-1.000i | Offset X/Y: -0.78/0.66 | Zoom: 0.46
Layer 5 -> c: 0.455+1.000i | Offset X/Y: -1.40/1.76 | Zoom: 1.82
Layer 6 -> c: 0.266-1.000i | Offset X/Y: 1.01/-0.96 | Zoom: 0.23
Layer 7 -> c: -0.745+0.046i | Offset X/Y: 1.55/-2.24 | Zoom: 0.40
Layer 8 -> c: 0.486-0.908i | Offset X/Y: 1.23/-1.55 | Zoom: 0.77

Generation 25 | MSE: 2116.57 | Genotype: 
Layer 1 -> c: -0.575-0.831i | Offset X/Y: -1.37/0.74 | Zoom: 1.71
Layer 2 -> c: -0.714-0.199i | Offset X/Y: -0.90/-1.29 | Zoom: 1.20
Layer 3 -> c: -0.776+0.294i | Offset X/Y: -1.24/0.92 | Zoom: 0.68
Layer 4 -> c: 0.013+0.431i | Offset X/Y: -0.62/-0.07 | Zoom: 0.39
Layer 5 -> c: -0.982-0.406i | Offset X/Y: -0.72/1.64 | Zoom: 1.14
Layer 6 -> c: -0.254-0.984i | Offset X/Y: -2.69/-0.09 | Zoom: 0.17
Layer 7 -> c: -0.193-1.000i | Offset X/Y: 0.85/-0.24 | Zoom: 0.84
Layer 8 -> c: -0.394-0.780i | Offset X/Y: 1.09/-0.77 | Zoom: 0.49

Generation 26 | MSE: 2116.57 | Genotype: 
Layer 1 -> c: -0.575-0.831i | Offset X/Y: -1.37/0.74 | Zoom: 1.71
Layer 2 -> c: -0.714-0.199i | Offset X/Y: -0.90/-1.29 | Zoom: 1.20
Layer 3 -> c: -0.776+0.294i | Offset X/Y: -1.24/0.92 | Zoom: 0.68
Layer 4 -> c: 0.013+0.431i | Offset X/Y: -0.62/-0.07 | Zoom: 0.39
Layer 5 -> c: -0.982-0.406i | Offset X/Y: -0.72/1.64 | Zoom: 1.14
Layer 6 -> c: -0.254-0.984i | Offset X/Y: -2.69/-0.09 | Zoom: 0.17
Layer 7 -> c: -0.193-1.000i | Offset X/Y: 0.85/-0.24 | Zoom: 0.84
Layer 8 -> c: -0.394-0.780i | Offset X/Y: 1.09/-0.77 | Zoom: 0.49

Generation 27 | MSE: 2116.57 | Genotype: 
Layer 1 -> c: -0.575-0.831i | Offset X/Y: -1.37/0.74 | Zoom: 1.71
Layer 2 -> c: -0.714-0.199i | Offset X/Y: -0.90/-1.29 | Zoom: 1.20
Layer 3 -> c: -0.776+0.294i | Offset X/Y: -1.24/0.92 | Zoom: 0.68
Layer 4 -> c: 0.013+0.431i | Offset X/Y: -0.62/-0.07 | Zoom: 0.39
Layer 5 -> c: -0.982-0.406i | Offset X/Y: -0.72/1.64 | Zoom: 1.14
Layer 6 -> c: -0.254-0.984i | Offset X/Y: -2.69/-0.09 | Zoom: 0.17
Layer 7 -> c: -0.193-1.000i | Offset X/Y: 0.85/-0.24 | Zoom: 0.84
Layer 8 -> c: -0.394-0.780i | Offset X/Y: 1.09/-0.77 | Zoom: 0.49

Generation 28 | MSE: 2116.57 | Genotype: 
Layer 1 -> c: -0.575-0.831i | Offset X/Y: -1.37/0.74 | Zoom: 1.71
Layer 2 -> c: -0.714-0.199i | Offset X/Y: -0.90/-1.29 | Zoom: 1.20
Layer 3 -> c: -0.776+0.294i | Offset X/Y: -1.24/0.92 | Zoom: 0.68
Layer 4 -> c: 0.013+0.431i | Offset X/Y: -0.62/-0.07 | Zoom: 0.39
Layer 5 -> c: -0.982-0.406i | Offset X/Y: -0.72/1.64 | Zoom: 1.14
Layer 6 -> c: -0.254-0.984i | Offset X/Y: -2.69/-0.09 | Zoom: 0.17
Layer 7 -> c: -0.193-1.000i | Offset X/Y: 0.85/-0.24 | Zoom: 0.84
Layer 8 -> c: -0.394-0.780i | Offset X/Y: 1.09/-0.77 | Zoom: 0.49

Generation 29 | MSE: 2105.75 | Genotype: 
Layer 1 -> c: 0.686-0.684i | Offset X/Y: -1.99/1.59 | Zoom: 0.28
Layer 2 -> c: 0.241-0.442i | Offset X/Y: 1.54/-0.85 | Zoom: 0.34
Layer 3 -> c: -1.000-0.811i | Offset X/Y: -1.23/2.07 | Zoom: 0.86
Layer 4 -> c: -1.000-0.539i | Offset X/Y: -0.23/0.28 | Zoom: 0.10
Layer 5 -> c: -0.458+0.813i | Offset X/Y: 0.04/0.17 | Zoom: 1.53
Layer 6 -> c: 0.440+0.313i | Offset X/Y: -2.47/-0.83 | Zoom: 0.16
Layer 7 -> c: -0.168+0.635i | Offset X/Y: -0.55/-2.70 | Zoom: 0.10
Layer 8 -> c: -0.393-0.086i | Offset X/Y: -2.07/-1.99 | Zoom: 0.11

Generation 30 | MSE: 2105.75 | Genotype: 
Layer 1 -> c: 0.686-0.684i | Offset X/Y: -1.99/1.59 | Zoom: 0.28
Layer 2 -> c: 0.241-0.442i | Offset X/Y: 1.54/-0.85 | Zoom: 0.34
Layer 3 -> c: -1.000-0.811i | Offset X/Y: -1.23/2.07 | Zoom: 0.86
Layer 4 -> c: -1.000-0.539i | Offset X/Y: -0.23/0.28 | Zoom: 0.10
Layer 5 -> c: -0.458+0.813i | Offset X/Y: 0.04/0.17 | Zoom: 1.53
Layer 6 -> c: 0.440+0.313i | Offset X/Y: -2.47/-0.83 | Zoom: 0.16
Layer 7 -> c: -0.168+0.635i | Offset X/Y: -0.55/-2.70 | Zoom: 0.10
Layer 8 -> c: -0.393-0.086i | Offset X/Y: -2.07/-1.99 | Zoom: 0.11

Generation 31 | MSE: 2105.75 | Genotype: 
Layer 1 -> c: 0.686-0.684i | Offset X/Y: -1.99/1.59 | Zoom: 0.28
Layer 2 -> c: 0.241-0.442i | Offset X/Y: 1.54/-0.85 | Zoom: 0.34
Layer 3 -> c: -1.000-0.811i | Offset X/Y: -1.23/2.07 | Zoom: 0.86
Layer 4 -> c: -1.000-0.539i | Offset X/Y: -0.23/0.28 | Zoom: 0.10
Layer 5 -> c: -0.458+0.813i | Offset X/Y: 0.04/0.17 | Zoom: 1.53
Layer 6 -> c: 0.440+0.313i | Offset X/Y: -2.47/-0.83 | Zoom: 0.16
Layer 7 -> c: -0.168+0.635i | Offset X/Y: -0.55/-2.70 | Zoom: 0.10
Layer 8 -> c: -0.393-0.086i | Offset X/Y: -2.07/-1.99 | Zoom: 0.11

Generation 32 | MSE: 2105.75 | Genotype: 
Layer 1 -> c: 0.686-0.684i | Offset X/Y: -1.99/1.59 | Zoom: 0.28
Layer 2 -> c: 0.241-0.442i | Offset X/Y: 1.54/-0.85 | Zoom: 0.34
Layer 3 -> c: -1.000-0.811i | Offset X/Y: -1.23/2.07 | Zoom: 0.86
Layer 4 -> c: -1.000-0.539i | Offset X/Y: -0.23/0.28 | Zoom: 0.10
Layer 5 -> c: -0.458+0.813i | Offset X/Y: 0.04/0.17 | Zoom: 1.53
Layer 6 -> c: 0.440+0.313i | Offset X/Y: -2.47/-0.83 | Zoom: 0.16
Layer 7 -> c: -0.168+0.635i | Offset X/Y: -0.55/-2.70 | Zoom: 0.10
Layer 8 -> c: -0.393-0.086i | Offset X/Y: -2.07/-1.99 | Zoom: 0.11

Generation 33 | MSE: 2105.75 | Genotype: 
Layer 1 -> c: 0.686-0.684i | Offset X/Y: -1.99/1.59 | Zoom: 0.28
Layer 2 -> c: 0.241-0.442i | Offset X/Y: 1.54/-0.85 | Zoom: 0.34
Layer 3 -> c: -1.000-0.811i | Offset X/Y: -1.23/2.07 | Zoom: 0.86
Layer 4 -> c: -1.000-0.539i | Offset X/Y: -0.23/0.28 | Zoom: 0.10
Layer 5 -> c: -0.458+0.813i | Offset X/Y: 0.04/0.17 | Zoom: 1.53
Layer 6 -> c: 0.440+0.313i | Offset X/Y: -2.47/-0.83 | Zoom: 0.16
Layer 7 -> c: -0.168+0.635i | Offset X/Y: -0.55/-2.70 | Zoom: 0.10
Layer 8 -> c: -0.393-0.086i | Offset X/Y: -2.07/-1.99 | Zoom: 0.11

Generation 34 | MSE: 2105.75 | Genotype: 
Layer 1 -> c: 0.686-0.684i | Offset X/Y: -1.99/1.59 | Zoom: 0.28
Layer 2 -> c: 0.241-0.442i | Offset X/Y: 1.54/-0.85 | Zoom: 0.34
Layer 3 -> c: -1.000-0.811i | Offset X/Y: -1.23/2.07 | Zoom: 0.86
Layer 4 -> c: -1.000-0.539i | Offset X/Y: -0.23/0.28 | Zoom: 0.10
Layer 5 -> c: -0.458+0.813i | Offset X/Y: 0.04/0.17 | Zoom: 1.53
Layer 6 -> c: 0.440+0.313i | Offset X/Y: -2.47/-0.83 | Zoom: 0.16
Layer 7 -> c: -0.168+0.635i | Offset X/Y: -0.55/-2.70 | Zoom: 0.10
Layer 8 -> c: -0.393-0.086i | Offset X/Y: -2.07/-1.99 | Zoom: 0.11

Generation 35 | MSE: 2105.75 | Genotype: 
Layer 1 -> c: 0.686-0.684i | Offset X/Y: -1.99/1.59 | Zoom: 0.28
Layer 2 -> c: 0.241-0.442i | Offset X/Y: 1.54/-0.85 | Zoom: 0.34
Layer 3 -> c: -1.000-0.811i | Offset X/Y: -1.23/2.07 | Zoom: 0.86
Layer 4 -> c: -1.000-0.539i | Offset X/Y: -0.23/0.28 | Zoom: 0.10
Layer 5 -> c: -0.458+0.813i | Offset X/Y: 0.04/0.17 | Zoom: 1.53
Layer 6 -> c: 0.440+0.313i | Offset X/Y: -2.47/-0.83 | Zoom: 0.16
Layer 7 -> c: -0.168+0.635i | Offset X/Y: -0.55/-2.70 | Zoom: 0.10
Layer 8 -> c: -0.393-0.086i | Offset X/Y: -2.07/-1.99 | Zoom: 0.11

Generation 36 | MSE: 2105.75 | Genotype: 
Layer 1 -> c: 0.686-0.684i | Offset X/Y: -1.99/1.59 | Zoom: 0.28
Layer 2 -> c: 0.241-0.442i | Offset X/Y: 1.54/-0.85 | Zoom: 0.34
Layer 3 -> c: -1.000-0.811i | Offset X/Y: -1.23/2.07 | Zoom: 0.86
Layer 4 -> c: -1.000-0.539i | Offset X/Y: -0.23/0.28 | Zoom: 0.10
Layer 5 -> c: -0.458+0.813i | Offset X/Y: 0.04/0.17 | Zoom: 1.53
Layer 6 -> c: 0.440+0.313i | Offset X/Y: -2.47/-0.83 | Zoom: 0.16
Layer 7 -> c: -0.168+0.635i | Offset X/Y: -0.55/-2.70 | Zoom: 0.10
Layer 8 -> c: -0.393-0.086i | Offset X/Y: -2.07/-1.99 | Zoom: 0.11

Generation 37 | MSE: 2105.75 | Genotype: 
Layer 1 -> c: 0.686-0.684i | Offset X/Y: -1.99/1.59 | Zoom: 0.28
Layer 2 -> c: 0.241-0.442i | Offset X/Y: 1.54/-0.85 | Zoom: 0.34
Layer 3 -> c: -1.000-0.811i | Offset X/Y: -1.23/2.07 | Zoom: 0.86
Layer 4 -> c: -1.000-0.539i | Offset X/Y: -0.23/0.28 | Zoom: 0.10
Layer 5 -> c: -0.458+0.813i | Offset X/Y: 0.04/0.17 | Zoom: 1.53
Layer 6 -> c: 0.440+0.313i | Offset X/Y: -2.47/-0.83 | Zoom: 0.16
Layer 7 -> c: -0.168+0.635i | Offset X/Y: -0.55/-2.70 | Zoom: 0.10
Layer 8 -> c: -0.393-0.086i | Offset X/Y: -2.07/-1.99 | Zoom: 0.11

Generation 38 | MSE: 1944.03 | Genotype: 
Layer 1 -> c: -0.770+0.466i | Offset X/Y: -1.48/1.59 | Zoom: 0.28
Layer 2 -> c: -1.000-0.013i | Offset X/Y: 2.46/-1.05 | Zoom: 0.12
Layer 3 -> c: -0.692-0.700i | Offset X/Y: -1.10/2.57 | Zoom: 0.81
Layer 4 -> c: -0.940+0.429i | Offset X/Y: -0.74/0.30 | Zoom: 0.10
Layer 5 -> c: -0.788+0.925i | Offset X/Y: 0.23/0.17 | Zoom: 1.58
Layer 6 -> c: 0.440-0.000i | Offset X/Y: 1.42/-1.17 | Zoom: 0.48
Layer 7 -> c: -0.168+0.626i | Offset X/Y: -1.17/-2.94 | Zoom: 0.10
Layer 8 -> c: -1.000+0.181i | Offset X/Y: -2.10/-0.89 | Zoom: 0.48

Generation 39 | MSE: 1944.03 | Genotype: 
Layer 1 -> c: -0.770+0.466i | Offset X/Y: -1.48/1.59 | Zoom: 0.28
Layer 2 -> c: -1.000-0.013i | Offset X/Y: 2.46/-1.05 | Zoom: 0.12
Layer 3 -> c: -0.692-0.700i | Offset X/Y: -1.10/2.57 | Zoom: 0.81
Layer 4 -> c: -0.940+0.429i | Offset X/Y: -0.74/0.30 | Zoom: 0.10
Layer 5 -> c: -0.788+0.925i | Offset X/Y: 0.23/0.17 | Zoom: 1.58
Layer 6 -> c: 0.440-0.000i | Offset X/Y: 1.42/-1.17 | Zoom: 0.48
Layer 7 -> c: -0.168+0.626i | Offset X/Y: -1.17/-2.94 | Zoom: 0.10
Layer 8 -> c: -1.000+0.181i | Offset X/Y: -2.10/-0.89 | Zoom: 0.48

Generation 40 | MSE: 1944.03 | Genotype: 
Layer 1 -> c: -0.770+0.466i | Offset X/Y: -1.48/1.59 | Zoom: 0.28
Layer 2 -> c: -1.000-0.013i | Offset X/Y: 2.46/-1.05 | Zoom: 0.12
Layer 3 -> c: -0.692-0.700i | Offset X/Y: -1.10/2.57 | Zoom: 0.81
Layer 4 -> c: -0.940+0.429i | Offset X/Y: -0.74/0.30 | Zoom: 0.10
Layer 5 -> c: -0.788+0.925i | Offset X/Y: 0.23/0.17 | Zoom: 1.58
Layer 6 -> c: 0.440-0.000i | Offset X/Y: 1.42/-1.17 | Zoom: 0.48
Layer 7 -> c: -0.168+0.626i | Offset X/Y: -1.17/-2.94 | Zoom: 0.10
Layer 8 -> c: -1.000+0.181i | Offset X/Y: -2.10/-0.89 | Zoom: 0.48

Generation 41 | MSE: 1944.03 | Genotype: 
Layer 1 -> c: -0.770+0.466i | Offset X/Y: -1.48/1.59 | Zoom: 0.28
Layer 2 -> c: -1.000-0.013i | Offset X/Y: 2.46/-1.05 | Zoom: 0.12
Layer 3 -> c: -0.692-0.700i | Offset X/Y: -1.10/2.57 | Zoom: 0.81
Layer 4 -> c: -0.940+0.429i | Offset X/Y: -0.74/0.30 | Zoom: 0.10
Layer 5 -> c: -0.788+0.925i | Offset X/Y: 0.23/0.17 | Zoom: 1.58
Layer 6 -> c: 0.440-0.000i | Offset X/Y: 1.42/-1.17 | Zoom: 0.48
Layer 7 -> c: -0.168+0.626i | Offset X/Y: -1.17/-2.94 | Zoom: 0.10
Layer 8 -> c: -1.000+0.181i | Offset X/Y: -2.10/-0.89 | Zoom: 0.48

Generation 42 | MSE: 1944.03 | Genotype: 
Layer 1 -> c: -0.770+0.466i | Offset X/Y: -1.48/1.59 | Zoom: 0.28
Layer 2 -> c: -1.000-0.013i | Offset X/Y: 2.46/-1.05 | Zoom: 0.12
Layer 3 -> c: -0.692-0.700i | Offset X/Y: -1.10/2.57 | Zoom: 0.81
Layer 4 -> c: -0.940+0.429i | Offset X/Y: -0.74/0.30 | Zoom: 0.10
Layer 5 -> c: -0.788+0.925i | Offset X/Y: 0.23/0.17 | Zoom: 1.58
Layer 6 -> c: 0.440-0.000i | Offset X/Y: 1.42/-1.17 | Zoom: 0.48
Layer 7 -> c: -0.168+0.626i | Offset X/Y: -1.17/-2.94 | Zoom: 0.10
Layer 8 -> c: -1.000+0.181i | Offset X/Y: -2.10/-0.89 | Zoom: 0.48

Generation 43 | MSE: 1944.03 | Genotype: 
Layer 1 -> c: -0.770+0.466i | Offset X/Y: -1.48/1.59 | Zoom: 0.28
Layer 2 -> c: -1.000-0.013i | Offset X/Y: 2.46/-1.05 | Zoom: 0.12
Layer 3 -> c: -0.692-0.700i | Offset X/Y: -1.10/2.57 | Zoom: 0.81
Layer 4 -> c: -0.940+0.429i | Offset X/Y: -0.74/0.30 | Zoom: 0.10
Layer 5 -> c: -0.788+0.925i | Offset X/Y: 0.23/0.17 | Zoom: 1.58
Layer 6 -> c: 0.440-0.000i | Offset X/Y: 1.42/-1.17 | Zoom: 0.48
Layer 7 -> c: -0.168+0.626i | Offset X/Y: -1.17/-2.94 | Zoom: 0.10
Layer 8 -> c: -1.000+0.181i | Offset X/Y: -2.10/-0.89 | Zoom: 0.48

Generation 44 | MSE: 1944.03 | Genotype: 
Layer 1 -> c: -0.770+0.466i | Offset X/Y: -1.48/1.59 | Zoom: 0.28
Layer 2 -> c: -1.000-0.013i | Offset X/Y: 2.46/-1.05 | Zoom: 0.12
Layer 3 -> c: -0.692-0.700i | Offset X/Y: -1.10/2.57 | Zoom: 0.81
Layer 4 -> c: -0.940+0.429i | Offset X/Y: -0.74/0.30 | Zoom: 0.10
Layer 5 -> c: -0.788+0.925i | Offset X/Y: 0.23/0.17 | Zoom: 1.58
Layer 6 -> c: 0.440-0.000i | Offset X/Y: 1.42/-1.17 | Zoom: 0.48
Layer 7 -> c: -0.168+0.626i | Offset X/Y: -1.17/-2.94 | Zoom: 0.10
Layer 8 -> c: -1.000+0.181i | Offset X/Y: -2.10/-0.89 | Zoom: 0.48

Generation 45 | MSE: 1944.03 | Genotype: 
Layer 1 -> c: -0.770+0.466i | Offset X/Y: -1.48/1.59 | Zoom: 0.28
Layer 2 -> c: -1.000-0.013i | Offset X/Y: 2.46/-1.05 | Zoom: 0.12
Layer 3 -> c: -0.692-0.700i | Offset X/Y: -1.10/2.57 | Zoom: 0.81
Layer 4 -> c: -0.940+0.429i | Offset X/Y: -0.74/0.30 | Zoom: 0.10
Layer 5 -> c: -0.788+0.925i | Offset X/Y: 0.23/0.17 | Zoom: 1.58
Layer 6 -> c: 0.440-0.000i | Offset X/Y: 1.42/-1.17 | Zoom: 0.48
Layer 7 -> c: -0.168+0.626i | Offset X/Y: -1.17/-2.94 | Zoom: 0.10
Layer 8 -> c: -1.000+0.181i | Offset X/Y: -2.10/-0.89 | Zoom: 0.48

Generation 46 | MSE: 1944.03 | Genotype: 
Layer 1 -> c: -0.770+0.466i | Offset X/Y: -1.48/1.59 | Zoom: 0.28
Layer 2 -> c: -1.000-0.013i | Offset X/Y: 2.46/-1.05 | Zoom: 0.12
Layer 3 -> c: -0.692-0.700i | Offset X/Y: -1.10/2.57 | Zoom: 0.81
Layer 4 -> c: -0.940+0.429i | Offset X/Y: -0.74/0.30 | Zoom: 0.10
Layer 5 -> c: -0.788+0.925i | Offset X/Y: 0.23/0.17 | Zoom: 1.58
Layer 6 -> c: 0.440-0.000i | Offset X/Y: 1.42/-1.17 | Zoom: 0.48
Layer 7 -> c: -0.168+0.626i | Offset X/Y: -1.17/-2.94 | Zoom: 0.10
Layer 8 -> c: -1.000+0.181i | Offset X/Y: -2.10/-0.89 | Zoom: 0.48

Generation 47 | MSE: 1944.03 | Genotype: 
Layer 1 -> c: -0.770+0.466i | Offset X/Y: -1.48/1.59 | Zoom: 0.28
Layer 2 -> c: -1.000-0.013i | Offset X/Y: 2.46/-1.05 | Zoom: 0.12
Layer 3 -> c: -0.692-0.700i | Offset X/Y: -1.10/2.57 | Zoom: 0.81
Layer 4 -> c: -0.940+0.429i | Offset X/Y: -0.74/0.30 | Zoom: 0.10
Layer 5 -> c: -0.788+0.925i | Offset X/Y: 0.23/0.17 | Zoom: 1.58
Layer 6 -> c: 0.440-0.000i | Offset X/Y: 1.42/-1.17 | Zoom: 0.48
Layer 7 -> c: -0.168+0.626i | Offset X/Y: -1.17/-2.94 | Zoom: 0.10
Layer 8 -> c: -1.000+0.181i | Offset X/Y: -2.10/-0.89 | Zoom: 0.48

Generation 48 | MSE: 1944.03 | Genotype: 
Layer 1 -> c: -0.770+0.466i | Offset X/Y: -1.48/1.59 | Zoom: 0.28
Layer 2 -> c: -1.000-0.013i | Offset X/Y: 2.46/-1.05 | Zoom: 0.12
Layer 3 -> c: -0.692-0.700i | Offset X/Y: -1.10/2.57 | Zoom: 0.81
Layer 4 -> c: -0.940+0.429i | Offset X/Y: -0.74/0.30 | Zoom: 0.10
Layer 5 -> c: -0.788+0.925i | Offset X/Y: 0.23/0.17 | Zoom: 1.58
Layer 6 -> c: 0.440-0.000i | Offset X/Y: 1.42/-1.17 | Zoom: 0.48
Layer 7 -> c: -0.168+0.626i | Offset X/Y: -1.17/-2.94 | Zoom: 0.10
Layer 8 -> c: -1.000+0.181i | Offset X/Y: -2.10/-0.89 | Zoom: 0.48

Generation 49 | MSE: 1944.03 | Genotype: 
Layer 1 -> c: -0.770+0.466i | Offset X/Y: -1.48/1.59 | Zoom: 0.28
Layer 2 -> c: -1.000-0.013i | Offset X/Y: 2.46/-1.05 | Zoom: 0.12
Layer 3 -> c: -0.692-0.700i | Offset X/Y: -1.10/2.57 | Zoom: 0.81
Layer 4 -> c: -0.940+0.429i | Offset X/Y: -0.74/0.30 | Zoom: 0.10
Layer 5 -> c: -0.788+0.925i | Offset X/Y: 0.23/0.17 | Zoom: 1.58
Layer 6 -> c: 0.440-0.000i | Offset X/Y: 1.42/-1.17 | Zoom: 0.48
Layer 7 -> c: -0.168+0.626i | Offset X/Y: -1.17/-2.94 | Zoom: 0.10
Layer 8 -> c: -1.000+0.181i | Offset X/Y: -2.10/-0.89 | Zoom: 0.48

Generation 50 | MSE: 1944.03 | Genotype: 
Layer 1 -> c: -0.770+0.466i | Offset X/Y: -1.48/1.59 | Zoom: 0.28
Layer 2 -> c: -1.000-0.013i | Offset X/Y: 2.46/-1.05 | Zoom: 0.12
Layer 3 -> c: -0.692-0.700i | Offset X/Y: -1.10/2.57 | Zoom: 0.81
Layer 4 -> c: -0.940+0.429i | Offset X/Y: -0.74/0.30 | Zoom: 0.10
Layer 5 -> c: -0.788+0.925i | Offset X/Y: 0.23/0.17 | Zoom: 1.58
Layer 6 -> c: 0.440-0.000i | Offset X/Y: 1.42/-1.17 | Zoom: 0.48
Layer 7 -> c: -0.168+0.626i | Offset X/Y: -1.17/-2.94 | Zoom: 0.10
Layer 8 -> c: -1.000+0.181i | Offset X/Y: -2.10/-0.89 | Zoom: 0.48

Generation 51 | MSE: 1944.03 | Genotype: 
Layer 1 -> c: -0.770+0.466i | Offset X/Y: -1.48/1.59 | Zoom: 0.28
Layer 2 -> c: -1.000-0.013i | Offset X/Y: 2.46/-1.05 | Zoom: 0.12
Layer 3 -> c: -0.692-0.700i | Offset X/Y: -1.10/2.57 | Zoom: 0.81
Layer 4 -> c: -0.940+0.429i | Offset X/Y: -0.74/0.30 | Zoom: 0.10
Layer 5 -> c: -0.788+0.925i | Offset X/Y: 0.23/0.17 | Zoom: 1.58
Layer 6 -> c: 0.440-0.000i | Offset X/Y: 1.42/-1.17 | Zoom: 0.48
Layer 7 -> c: -0.168+0.626i | Offset X/Y: -1.17/-2.94 | Zoom: 0.10
Layer 8 -> c: -1.000+0.181i | Offset X/Y: -2.10/-0.89 | Zoom: 0.48

